proto,packets_count,f_pkts_num,min_fiat,min_biat,flow_packets_per_second,f_min_pkt_size,f_max_pkt_size,b_min_pkt_size,b_max_pkt_size,b_mean_pkt_size,diag_step_fiat,diag_step_biat,diag_steps,tcp_syn_count,tcp_ack_count,tcp_rst_count,tcp_fin_count,tcp_urg_count,tcp_retr_count,pktiat_0,pktiat_1,pktiat_2,pktiat_3,pktiat_4,pktiat_7,pktiat_8,pktiat_9,pktlen_1,pktlen_8,type
6,10,4,0.0009188652038574,1.0013580322265623e-05,0,66,583,66,1414,823.3333333333334,12.639972496032716,12.638208389282228,12.639972496032716,0,10,0,0,0,10,0.0,0.005839109420776367,0.00038504600524902344,2.288818359375e-05,1.0013580322265625e-05,0.0007338523864746094,0.0001850128173828125,0.003637075424194336,66,66,1
6,10,4,0.002526044845581,1.5020370483398438e-05,0,66,583,66,1414,823.3333333333334,12.639972496032716,12.638208389282228,12.639972496032716,0,10,0,0,0,10,0.0,0.00420689582824707,0.0008511543273925781,3.1948089599609375e-05,3.2901763916015625e-05,0.002298116683959961,0.00022792816162109375,0.0034601688385009766,66,66,1
6,10,4,0.0008180141448974,1.2874603271484377e-05,0,66,583,66,1414,823.3333333333334,12.639972496032716,12.638208389282228,12.639972496032716,0,10,0,0,0,10,0.0,0.004539012908935547,0.0003800392150878906,2.09808349609375e-05,1.2874603271484375e-05,0.0006899833679199219,0.00012803077697753906,0.004336118698120117,66,66,1
6,10,4,0.0011110305786132,1.5974044799804688e-05,2,66,583,66,1414,823.3333333333334,12.639972496032716,12.638208389282228,12.639972496032716,0,10,0,0,0,10,0.0,0.0041010379791259766,0.00039386749267578125,2.8133392333984375e-05,1.5974044799804688e-05,0.0009100437164306641,0.0002009868621826172,0.0030858516693115234,66,66,1
6,10,4,0.0030581951141357,1.0967254638671877e-05,0,66,583,66,1414,823.3333333333334,12.639972496032716,12.638208389282228,12.639972496032716,0,10,0,0,0,10,0.0,0.004183053970336914,0.0012271404266357422,3.0994415283203125e-05,1.0967254638671875e-05,0.0029120445251464844,0.0001461505889892578,0.003821849822998047,66,66,1
6,10,4,2.312660217285156e-05,1.6927719116210938e-05,0,66,583,66,1414,823.3333333333334,12.639972496032716,12.638208389282228,12.639972496032716,0,10,0,0,0,10,0.0,0.012701034545898438,0.0003769397735595703,1.6927719116210938e-05,3.790855407714844e-05,0.00011396408081054688,2.3126602172851562e-05,0.0009679794311523438,66,66,1
6,10,4,0.0026080608367919,1.4066696166992188e-05,0,66,583,66,1414,823.3333333333334,12.639972496032716,12.638208389282228,12.639972496032716,0,10,0,0,0,10,0.0,0.003957986831665039,0.0008258819580078125,5.1021575927734375e-05,1.4066696166992188e-05,0.0024230480194091797,0.0001850128173828125,0.005132913589477539,66,66,1
6,10,4,0.0008859634399414,9.059906005859377e-06,0,66,583,66,1414,823.3333333333334,12.639972496032716,12.638208389282228,12.639972496032716,0,10,0,0,0,10,0.0,0.004608154296875,0.0003578662872314453,1.4066696166992188e-05,9.059906005859375e-06,0.0007219314575195312,0.000164031982421875,0.00333404541015625,66,66,1
6,10,4,4.887580871582031e-05,1.0013580322265623e-05,0,66,583,66,1414,823.3333333333334,12.639972496032716,12.638208389282228,12.639972496032716,0,10,0,0,0,10,0.0,0.004791975021362305,0.00036716461181640625,3.600120544433594e-05,1.0013580322265625e-05,4.887580871582031e-05,0.0007572174072265625,0.00032591819763183594,66,514,1
6,10,4,0.0014939308166503,8.106231689453125e-06,0,66,583,66,1414,823.3333333333334,12.639972496032716,12.638208389282228,12.639972496032716,0,10,0,0,0,10,0.0,0.012849092483520508,0.0004189014434814453,2.09808349609375e-05,8.106231689453125e-06,0.001313924789428711,0.0001800060272216797,0.003885984420776367,66,66,1
6,10,4,0.0026688575744628,7.867813110351562e-06,0,66,583,66,1414,823.3333333333334,12.639972496032716,12.638208389282228,12.639972496032716,0,10,0,0,0,10,0.0,0.004803180694580078,0.0006809234619140625,3.1948089599609375e-05,9.059906005859375e-06,0.002508878707885742,0.00015997886657714844,0.0032711029052734375,66,66,1
6,10,4,0.0012571811676025,8.106231689453125e-06,0,66,583,66,1414,823.3333333333334,12.639972496032716,12.638208389282228,12.639972496032716,0,10,0,0,0,10,0.0,0.014273881912231445,0.00034999847412109375,3.409385681152344e-05,1.0967254638671875e-05,0.0008800029754638672,0.0003771781921386719,0.0036559104919433594,66,66,1
6,10,4,0.0009570121765136,9.059906005859377e-06,0,66,583,66,1414,823.3333333333334,12.639972496032716,12.638208389282228,12.639972496032716,0,10,0,0,0,10,0.0,0.004588127136230469,0.00019693374633789062,2.002716064453125e-05,2.288818359375e-05,0.0007860660552978516,0.0001709461212158203,0.003370046615600586,66,66,1
6,10,4,0.0017750263214111,1.1920928955078123e-05,0,66,583,66,1414,823.3333333333334,12.639972496032716,12.638208389282228,12.639972496032716,0,10,0,0,0,10,0.0,0.0037779808044433594,0.00041294097900390625,4.291534423828125e-05,1.4066696166992188e-05,0.0016088485717773438,0.00016617774963378906,0.0031998157501220703,66,66,1
