proto,packets_count,total_fiat,f_pkts_num,min_fiat,min_biat,flow_packets_per_second,f_min_pkt_size,f_max_pkt_size,b_min_pkt_size,diag_step_fiat,diag_step_biat,diag_steps,tcp_syn_count,tcp_ack_count,tcp_rst_count,tcp_fin_count,tcp_urg_count,tcp_retr_count,pktiat_0,pktiat_1,pktiat_2,pktiat_7,pktiat_9,pktlen_1,pktlen_5,pktlen_6,pktlen_7,pktlen_8,pktlen_9,type
6,10,0.1967260837554931,5,0.0008931159973144,2.002716064453125e-05,0,66,734,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.0040471553802490234,0.00016188621520996094,2.002716064453125e-05,0.18731093406677246,66,66,393,128,66,164,0
6,10,0.0075938701629638,5,6.103515625e-05,1.0967254638671877e-05,0,66,583,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.0036199092864990234,0.0002620220184326172,0.0004329681396484375,0.002833843231201172,66,66,66,461,66,146,0
6,10,0.0080468654632568,4,0.0006418228149414,1.1920928955078123e-05,0,66,583,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.0040400028228759766,3.3855438232421875e-05,0.00013303756713867188,0.003976106643676758,66,66,461,66,146,66,0
6,10,0.0081181526184082,4,0.000586986541748,1.4066696166992188e-05,0,66,583,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.003818035125732422,0.00032806396484375,0.0001609325408935547,0.0037279129028320312,66,66,461,66,146,66,0
6,10,0.0094249248504638,4,0.0005650520324707,1.0013580322265623e-05,0,66,583,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.004163980484008789,0.00030684471130371094,0.0001010894775390625,0.003968954086303711,66,66,461,66,146,66,0
6,10,0.1743290424346923,5,0.0021710395812988,2.408027648925781e-05,0,66,735,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.003718137741088867,0.0002529621124267578,2.4080276489257812e-05,0.15950393676757812,66,66,393,128,66,164,0
6,10,0.1888120174407959,5,0.0025877952575683,2.408027648925781e-05,0,66,735,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.0037450790405273438,0.0008490085601806641,2.4080276489257812e-05,0.1772768497467041,66,66,393,128,66,164,0
6,10,0.0088319778442382,4,0.0006380081176757,1.1920928955078123e-05,0,66,583,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.00406193733215332,0.00036907196044921875,0.00014591217041015625,0.0041561126708984375,66,66,461,66,146,66,0
6,10,0.0126619338989257,4,0.0007538795471191,9.059906005859377e-06,0,66,583,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.00436091423034668,4.100799560546875e-05,0.00024700164794921875,0.004174947738647461,66,66,461,66,146,66,0
6,10,0.0084791183471679,4,0.0007870197296142,1.0967254638671877e-05,0,66,583,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.0036940574645996094,0.0002448558807373047,0.00024008750915527344,0.0036559104919433594,66,66,461,66,146,66,0
6,10,0.598621129989624,5,0.0003349781036376,2.1219253540039062e-05,0,66,735,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.00374603271484375,0.0003459453582763672,2.1219253540039062e-05,0.5879101753234863,66,66,393,128,66,164,0
6,10,0.0105588436126708,4,0.0005578994750976,2.312660217285156e-05,0,66,583,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.004091978073120117,0.0002758502960205078,0.0001327991485595703,0.004060983657836914,66,66,461,66,146,66,0
6,10,0.0084280967712402,5,1.5974044799804688e-05,1.0967254638671877e-05,0,66,583,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.003587007522583008,0.0002319812774658203,0.0005941390991210938,0.003528118133544922,66,66,66,461,66,146,0
6,10,0.1829590797424316,5,0.0003650188446044,1.5974044799804688e-05,0,66,734,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.0037589073181152344,0.00016999244689941406,1.5974044799804688e-05,0.17493605613708496,66,66,393,128,66,164,0
6,10,0.0081260204315185,5,6.794929504394531e-05,1.1920928955078123e-05,0,66,583,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.0038280487060546875,0.00017189979553222656,0.0005400180816650391,0.0031931400299072266,66,66,66,461,66,146,0
